STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,tra_meas,Traffic and transport measurement,airp_pr,Airport pairs (routes),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:AVIA_PAR_NL(1.0),Air passenger transport routes between partner airports and main airports in the Netherlands,M,Monthly,PAS,Passenger,PAS_BRD,Passengers on board,NL_EHAM_AE_OMAA,AMSTERDAM/SCHIPHOL airport - ABU DHABI INTERNATIONAL airport,2018-01,,25653,,,,,
dataflow,ESTAT:AVIA_PAR_NL(1.0),Air passenger transport routes between partner airports and main airports in the Netherlands,M,Monthly,PAS,Passenger,PAS_BRD,Passengers on board,NL_EHAM_AE_OMAA,AMSTERDAM/SCHIPHOL airport - ABU DHABI INTERNATIONAL airport,2018-02,,24387,,,,,
dataflow,ESTAT:AVIA_PAR_NL(1.0),Air passenger transport routes between partner airports and main airports in the Netherlands,M,Monthly,PAS,Passenger,PAS_BRD,Passengers on board,NL_EHAM_AE_OMAA,AMSTERDAM/SCHIPHOL airport - ABU DHABI INTERNATIONAL airport,2018-03,,26890,,,,,
dataflow,ESTAT:AVIA_PAR_NL(1.0),Air passenger transport routes between partner airports and main airports in the Netherlands,M,Monthly,PAS,Passenger,PAS_BRD,Passengers on board,NL_EHAM_AE_OMAA,AMSTERDAM/SCHIPHOL airport - ABU DHABI INTERNATIONAL airport,2018-04,,27366,,,,,
dataflow,ESTAT:AVIA_PAR_NL(1.0),Air passenger transport routes between partner airports and main airports in the Netherlands,M,Monthly,PAS,Passenger,PAS_BRD,Passengers on board,NL_EHAM_AE_OMAA,AMSTERDAM/SCHIPHOL airport - ABU DHABI INTERNATIONAL airport,2018-05,,24126,,,,,
dataflow,ESTAT:AVIA_PAR_NL(1.0),Air passenger transport routes between partner airports and main airports in the Netherlands,M,Monthly,PAS,Passenger,PAS_BRD,Passengers on board,NL_EHAM_AE_OMAA,AMSTERDAM/SCHIPHOL airport - ABU DHABI INTERNATIONAL airport,2018-06,,25090,,,,,
dataflow,ESTAT:AVIA_PAR_NL(1.0),Air passenger transport routes between partner airports and main airports in the Netherlands,M,Monthly,PAS,Passenger,PAS_BRD,Passengers on board,NL_EHAM_AE_OMAA,AMSTERDAM/SCHIPHOL airport - ABU DHABI INTERNATIONAL airport,2018-07,,33181,,,,,
dataflow,ESTAT:AVIA_PAR_NL(1.0),Air passenger transport routes between partner airports and main airports in the Netherlands,M,Monthly,PAS,Passenger,PAS_BRD,Passengers on board,NL_EHAM_AE_OMAA,AMSTERDAM/SCHIPHOL airport - ABU DHABI INTERNATIONAL airport,2018-08,,35789,,,,,
dataflow,ESTAT:AVIA_PAR_NL(1.0),Air passenger transport routes between partner airports and main airports in the Netherlands,M,Monthly,PAS,Passenger,PAS_BRD,Passengers on board,NL_EHAM_AE_OMAA,AMSTERDAM/SCHIPHOL airport - ABU DHABI INTERNATIONAL airport,2018-09,,28360,,,,,
dataflow,ESTAT:AVIA_PAR_NL(1.0),Air passenger transport routes between partner airports and main airports in the Netherlands,M,Monthly,PAS,Passenger,PAS_BRD,Passengers on board,NL_EHAM_AE_OMAA,AMSTERDAM/SCHIPHOL airport - ABU DHABI INTERNATIONAL airport,2018-10,,27266,,,,,
