STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,tra_meas,Traffic and transport measurement,airp_pr,Airport pairs (routes),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:AVIA_PAR_NL(1.0),Air passenger transport routes between partner airports and main airports in the Netherlands,M,Monthly,PAS,Passenger,PAS_BRD,Passengers on board,NL_EHAM_AE_OMAA,AMSTERDAM/SCHIPHOL airport - ABU DHABI INTERNATIONAL airport,2017-01,,22977,,,,,
dataflow,ESTAT:AVIA_PAR_NL(1.0),Air passenger transport routes between partner airports and main airports in the Netherlands,M,Monthly,PAS,Passenger,PAS_BRD,Passengers on board,NL_EHAM_AE_OMAA,AMSTERDAM/SCHIPHOL airport - ABU DHABI INTERNATIONAL airport,2017-02,,21316,,,,,
dataflow,ESTAT:AVIA_PAR_NL(1.0),Air passenger transport routes between partner airports and main airports in the Netherlands,M,Monthly,PAS,Passenger,PAS_BRD,Passengers on board,NL_EHAM_AE_OMAA,AMSTERDAM/SCHIPHOL airport - ABU DHABI INTERNATIONAL airport,2017-03,,21702,,,,,
dataflow,ESTAT:AVIA_PAR_NL(1.0),Air passenger transport routes between partner airports and main airports in the Netherlands,M,Monthly,PAS,Passenger,PAS_BRD,Passengers on board,NL_EHAM_AE_OMAA,AMSTERDAM/SCHIPHOL airport - ABU DHABI INTERNATIONAL airport,2017-04,,25664,,,,,
dataflow,ESTAT:AVIA_PAR_NL(1.0),Air passenger transport routes between partner airports and main airports in the Netherlands,M,Monthly,PAS,Passenger,PAS_BRD,Passengers on board,NL_EHAM_AE_OMAA,AMSTERDAM/SCHIPHOL airport - ABU DHABI INTERNATIONAL airport,2017-05,,24965,,,,,
dataflow,ESTAT:AVIA_PAR_NL(1.0),Air passenger transport routes between partner airports and main airports in the Netherlands,M,Monthly,PAS,Passenger,PAS_BRD,Passengers on board,NL_EHAM_AE_OMAA,AMSTERDAM/SCHIPHOL airport - ABU DHABI INTERNATIONAL airport,2017-06,,22216,,,,,
dataflow,ESTAT:AVIA_PAR_NL(1.0),Air passenger transport routes between partner airports and main airports in the Netherlands,M,Monthly,PAS,Passenger,PAS_BRD,Passengers on board,NL_EHAM_AE_OMAA,AMSTERDAM/SCHIPHOL airport - ABU DHABI INTERNATIONAL airport,2017-07,,27400,,,,,
dataflow,ESTAT:AVIA_PAR_NL(1.0),Air passenger transport routes between partner airports and main airports in the Netherlands,M,Monthly,PAS,Passenger,PAS_BRD,Passengers on board,NL_EHAM_AE_OMAA,AMSTERDAM/SCHIPHOL airport - ABU DHABI INTERNATIONAL airport,2017-08,,26625,,,,,
dataflow,ESTAT:AVIA_PAR_NL(1.0),Air passenger transport routes between partner airports and main airports in the Netherlands,M,Monthly,PAS,Passenger,PAS_BRD,Passengers on board,NL_EHAM_AE_OMAA,AMSTERDAM/SCHIPHOL airport - ABU DHABI INTERNATIONAL airport,2017-09,,25398,,,,,
dataflow,ESTAT:AVIA_PAR_NL(1.0),Air passenger transport routes between partner airports and main airports in the Netherlands,M,Monthly,PAS,Passenger,PAS_BRD,Passengers on board,NL_EHAM_AE_OMAA,AMSTERDAM/SCHIPHOL airport - ABU DHABI INTERNATIONAL airport,2017-10,,25297,,,,,
